KD <1mM,SMILES
0,Nc1nnc(C(F)(F)F)[o]1
0,OC[C@H](CNCC1)[C@H]1c1ccccc1
0,CCC(C)[n]1ncc(C(O)=O)c1C
0,NCC1OCCc2c1cc(F)[s]2.Cl
0,CNC(c1ccccc1)=O
0,N[C@H](CCC1)c(cc2)c1cc2F.Cl
0,C(C1)COC1c1nc(cccc2)c2[nH]1
0,CNC(c1ncc[nH]1)c1ccccc1
0,COc(ccnc1)c1C#N
0,N#Cc1c(CN2CCCC2)cccc1
0,CC(CN1c2ccc(CN)cc2)CS1(=O)=O
0,Cc1c(CC(O)=O)[s]c(C2CC2)n1
0,NC(Cc1c[s]c(-c2ccc[o]2)n1)=O
0,Cc1n[o]c(C)c1C(O)=O
0,OC(C(C1)CN1C(C1CCCCC1)=O)=O
0,CC(CC1C(F)(F)F)NC(N(C)N2)=C1C2=O
0,OC(CC1NCCC1)c1ccc[s]1
0,CC(CN)N1CCOCC1
0,C1CC(c2nc(cccc3)c3[o]2)NCC1
0,OC1(Cc2cccc(F)c2)CNCC1
0,CC(C)(C(C1)N)C1(C)OC
0,O=C1NCC(CC2)NC2C1
0,CC(C)c1ncc[n]1CC(O)=O
0,Cc1c(C(Nc2ncccc2)=O)[s]cn1
0,CCN1CCC(CCN)CC1
0,NCc1ccc(CN(CCC2)C2=O)cc1
0,CN(Cc1ncc[s]1)C(C1)C11CCNCC1
0,CC(c1nc(cccc2)c2[n]1C)O
0,O=C1NCCNc2c1cccc2
1,Nc(cc1)ncc1N1CCCCC1
0,NCC(CCCC1)N1C1CC1
0,Nc1n[n](C2CCCCC2)cn1
0,Nc1cnc(C2CC2)nc1
0,O=C(CC1)c(cc(cc2)F)c2NC1=O
0,COCc1c[s]c(C(O)=O)c1
1,COc(c(OC)c1)cc(C=C2)c1NC2=O
0,CC(C)C1OCCCC1C(O)=O
0,NCCc1nnc2[n]1CCCCC2
0,OC(c1cc(F)cnc1)=O
0,NCCc1c[n](CCS2)c2n1
0,O=C1NCc2c1cccn2
0,Fc(cc1NCCOc1c1)c1F
0,NC(C1(CCOCC1)N1CCCC1)=O
0,OCc1c(CCCC2)[n]2nc1
0,CN(C)c(cncc1)c1C#N
0,Cc1nc(C(F)(F)F)c(CO)[s]1.Cl
0,CCC(CC1)(CCC1N)O
0,CC(C)N1CC(CO)CCC1
0,Cc1c(N)[n](Cc(cccc2)c2F)nc1
0,Cc1c(-c2c[nH]cc2C(O)=O)[s]cn1
0,CN(C(C(C1)C(O)=O)c2ccc[s]2)C1=O
0,C[n]1c(-c2ccccc2)nnc1CO
0,C[n]1nc(C(F)F)c2c1[s]c(C(O)=O)c2
0,Cc(cc1)ccc1-c1n[o]c(C(O)=O)c1
0,O=C1NC(Cc2ccccc2)COC1
0,OC(C(C1)c2c1ccc(F)c2)=O
0,N#Cc(cc1)ccc1NCCO
0,CC(c1nc(-c2cccc(F)c2)n[o]1)N.Cl
0,CC(C)[n]1ncc2c1N=CNC2=O
0,CC1OC(COC)CNC1
0,NCc1cccc(-[n]2cncc2)c1.Cl.Cl
0,O=C(CNC1CCCC1)N1CCCC1
0,CP(C)(c1cc(NCCC2)c2cc1)=O
0,CNC1CCN(Cc2ccncc2)CC1
0,O[C@H](C1)C[C@H]1c(cccc1)c1F
0,C(C1OCCC1)Nc1ccncc1
0,O=C1c(ccc(F)c2)c2OC1
0,O=C(N1)N(C=CC=C2)C2=NC1=O
0,NC(CCCN1c2cnccc2)C1=O
0,CN(C)c1cccnc1CN
0,NC(CCN1Cc(cc2)ccc2F)C1=O
0,O=C1NC(C2OCCC2)C11CCC1
0,O=C(COc1ccc2)Nc1c2F
0,OCc1nc(C(F)(F)F)c[s]1
0,CC(c1c[n](C)nc1)NC
0,Fc1cc(C2OCCNC2)ccc1
0,OC1C2(CCCCC2)NCC1
0,CC(COCC1)N1C1CCNCC1
0,C[n]1nc(C(F)F)c(CO)c1
0,O=C(C1)NCCCN1C1CC1
0,C(CNC1)C11COCCC1
0,Cc([o]c(C(O)=O)c1)c1-c1c[s]c(C)n1
0,OC(c1c[nH]c2c1ccc(Cl)c2)=O
0,CC(C1)C2(CCC2)CNC1=O
0,O=S1(C(CCCC2)C2NCC1)=O
0,C(C1)CNCC1c1nnc2[n]1cccc2.Cl.Cl
0,Cc([n](-c(cccc1)c1F)nc1C)c1N
0,OC1CN(Cc(cc2)ccc2F)CCC1.Cl
0,CC(C)(CC1C(O)=O)Oc2c1cccc2
0,CC(c1n[o]c(-c2ccccc2)n1)O
0,Nc1nnc(-c(c(F)ccc2)c2Cl)[s]1
0,NC(Cc(cc1)ccc1Cl)=O
0,CNC(C1Oc(cccc2)c2NC1)=O
0,Cc1c(C(c2ccccc2)O)ccnc1
0,CCc1nc(C)c(CO)[o]1
0,C1Nc(ccnc2)c2NC1
1,Nc1nccc(-c2cnccc2)c1
0,C[C@H](c1cc(C#N)ccc1)O
0,OC(c1n[nH]c(C2CC2)c1)=O
1,CC(C)[n]1c(N)nc2c1cccc2
0,Cc1ncc[n]1-c(cc1)c(CN)cc1F
0,CC(C)(c(ccc(C(O)=O)c1)c1N1)C1=O
0,Cc1c(CC(N)=O)cccc1
0,FC(c1nnc2[n]1CCNC2)F
0,Nc1nnc(Cc(cccc2)c2F)[s]1
0,OCc1cc(F)cc(N2CCOCC2)c1
0,Nc1nc(Cc(cc2)ccc2F)n[o]1
0,Cc1cccc(CCN)n1
0,O=C(C1)Nc(cc2)c1cc2F
0,COc(cccc1)c1-c1nnc[o]1
0,Cc1cc(CC(O)=O)n[o]1
0,Cc1nc(C)n[n]1C1CNCCC1
0,CCN(C(C1)=O)N=C1C(F)(F)F
0,CC[n]1nc(C2CC2)cc1C(O)=O
0,OC(CN(CCN1C2CC2)C1=O)=O
0,COc1cc(C(C2CC2)O)ccc1
0,CC1Nc(cccc2)c2NC1=O
0,OC(CC1OCc2c1ccc(Cl)c2)=O
0,NC(CO)c1ccccc1
0,Cc1c(C(O)=O)[o]c(CC2CC2)n1
0,OCCC(CCCN1)C1=O
0,NC(C1)c(cccc2)c2S1(=O)=O
0,CC[C@@H](CC[C@H](C)N1)C1=O
0,CC[C@H](C[C@@H](C1)C(O)=O)NC1=O
0,C[C@H]([C@@H](c1ccccc1)OC1)NC1=O
0,CC(C(NCC1)=O)N1C(c1ccc[o]1)=O
0,OCc1nc(-c(cc2)ccc2F)n[o]1
0,CCN(CCC(NC1C)=O)C1=O
0,CCCC(N1)=Nc(ccc(F)c2)c2C1=O
0,CC1OCCCN(Cc2ccccc2)C1=O
0,NC(CC1CCCCC1)=O
0,CS(c1cnccc1)(=O)=O
0,OC(c1cccc(C(F)(F)F)n1)=O
0,NC(CCC1)c(cc2)c1cc2F.Cl
0,O[C@@H](CC1)c(cc2)c1cc2Cl
